<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>,<VOL>
RUR,D,20120630,0000,32.417,0
RUR,D,20120701,0000,32.416,0
RUR,D,20120702,0000,32.565,0
RUR,D,20120703,0000,32.215,0
RUR,D,20120704,0000,32.307,0
RUR,D,20120705,0000,32.509,0
RUR,D,20120706,0000,32.8637,0
RUR,D,20120707,0000,32.784,0
RUR,D,20120708,0000,32.866,0
RUR,D,20120709,0000,32.984,0
RUR,D,20120710,0000,32.897,0
RUR,D,20120711,0000,32.6945,0
RUR,D,20120712,0000,32.727,0
RUR,D,20120713,0000,32.567,0
RUR,D,20120714,0000,32.571,0
RUR,D,20120715,0000,32.569,0
RUR,D,20120716,0000,32.5087,0
RUR,D,20120717,0000,32.3498,0
RUR,D,20120718,0000,32.2178,0
RUR,D,20120719,0000,31.8207,0
RUR,D,20120720,0000,32.0345,0
RUR,D,20120721,0000,32.035,0
RUR,D,20120722,0000,32.108,0
RUR,D,20120723,0000,32.605,0
RUR,D,20120724,0000,32.9185,0
RUR,D,20120725,0000,32.751,0
RUR,D,20120726,0000,32.3407,0
RUR,D,20120727,0000,31.98,0
RUR,D,20120728,0000,32.064,0
RUR,D,20120729,0000,32.064,0
RUR,D,20120730,0000,32.181,0
RUR,D,20120731,0000,32.2006,0
RUR,D,20120801,0000,32.3995,0
RUR,D,20120802,0000,32.525,0
RUR,D,20120803,0000,31.977,0
RUR,D,20120804,0000,31.961,0
RUR,D,20120805,0000,31.983,0
RUR,D,20120806,0000,31.5512,0
RUR,D,20120807,0000,31.536,0
RUR,D,20120808,0000,31.5318,0
RUR,D,20120809,0000,31.7095,0
RUR,D,20120810,0000,31.7652,0
RUR,D,20120811,0000,31.897,0
RUR,D,20120812,0000,31.833,0
RUR,D,20120813,0000,31.8587,0
RUR,D,20120814,0000,31.8296,0
RUR,D,20120815,0000,31.8615,0
RUR,D,20120816,0000,31.7995,0
RUR,D,20120817,0000,32.047,0
RUR,D,20120818,0000,32.065,0
RUR,D,20120819,0000,32.035,0
RUR,D,20120820,0000,32.01,0
RUR,D,20120821,0000,31.8075,0
RUR,D,20120822,0000,31.7795,0
RUR,D,20120823,0000,31.7502,0
RUR,D,20120824,0000,31.8045,0
RUR,D,20120825,0000,31.859,0
RUR,D,20120826,0000,31.807,0
RUR,D,20120827,0000,31.916,0
RUR,D,20120828,0000,31.9785,0
RUR,D,20120829,0000,32.2,0
RUR,D,20120830,0000,32.5446,0
RUR,D,20120831,0000,32.246,0
RUR,D,20120901,0000,32.294,0
RUR,D,20120902,0000,32.249,0
RUR,D,20120903,0000,32.305,0
RUR,D,20120904,0000,32.2885,0
RUR,D,20120905,0000,32.2929,0
RUR,D,20120906,0000,31.9795,0
RUR,D,20120907,0000,31.6545,0
RUR,D,20120908,0000,31.804,0
RUR,D,20120909,0000,31.804,0
RUR,D,20120910,0000,31.6673,0
RUR,D,20120911,0000,31.4624,0
RUR,D,20120912,0000,31.4815,0
RUR,D,20120913,0000,31.0591,0
RUR,D,20120914,0000,30.607,0
RUR,D,20120915,0000,30.656,0
RUR,D,20120916,0000,30.493,0
RUR,D,20120917,0000,30.647,0
RUR,D,20120918,0000,30.9132,0
RUR,D,20120919,0000,31.1895,0
RUR,D,20120920,0000,31.145,0
RUR,D,20120921,0000,31.0275,0
RUR,D,20120922,0000,31.045,0
RUR,D,20120923,0000,31.029,0
RUR,D,20120924,0000,31.14,0
RUR,D,20120925,0000,31.18,0
RUR,D,20120926,0000,31.285,0
RUR,D,20120927,0000,30.9845,0
RUR,D,20120928,0000,31.185,0
